person,personLabel,parentLabel,linkcount
http://www.wikidata.org/entity/Q6098688,Iver Heltzen,Christian Ernst Heltzen,2
http://www.wikidata.org/entity/Q11994908,Paul Frederik Michael Heltzen,Christian Ernst Heltzen,2
http://www.wikidata.org/entity/Q12274734,Vasil Ihchiev,Diamandi Ihchiev,2
http://www.wikidata.org/entity/Q16351561,Anton Buchholtz,August Wilhelm Buchholtz,2
http://www.wikidata.org/entity/Q16590970,Viveka Heyman,Harald Heyman,2
http://www.wikidata.org/entity/Q17278150,Katarzyna Tusk,Małgorzata Tusk,2
http://www.wikidata.org/entity/Q19977062,Alvar Nelson,Axel Nelson,2
http://www.wikidata.org/entity/Q60361095,Anna L. Fisher,Klas August Linderfelt,2
http://www.wikidata.org/entity/Q4950704,Karin Granberg,Olof Granberg,2
http://www.wikidata.org/entity/Q5379842,Henri Justel,Christophe Justel,2
http://www.wikidata.org/entity/Q5997275,Gerhard Munthe,Wilhelm Munthe,2
http://www.wikidata.org/entity/Q12318068,Ida Thiele,Just Mathias Thiele,2
http://www.wikidata.org/entity/Q16690580,Sofya Konstantinova,Aleksey Konstantinov,2
http://www.wikidata.org/entity/Q19754125,Umberto Gnoli,Domenico Gnoli,2
http://www.wikidata.org/entity/Q20900628,Mikhail Buturlin,Dmitry Buturlin,2
http://www.wikidata.org/entity/Q41569561,Lodovico Frati,Luigi Frati,2
http://www.wikidata.org/entity/Q64155835,René-Pamphile Lemay,Pamphile LeMay,2
http://www.wikidata.org/entity/Q1782466,Konrad Friedrich Schmidt-Phiseldek,Christoph von Schmidt-Phiseldeck,2
